Cod_Nodo,Cod_Reporta_a_nodo,unidad,reporta_a,Cod_nodo2,EstructuraPrincipal,Gastos,RecursosHumanos,Jurisdiccion,Subjurisdiccion
A622,A591,Servicio Meteorológico Nacional,"Secretaría de Investigación, Política Industrial y Producción para la Defensa",A622,1,36185000000,880,Ministerio de Defensa,Servicio Meteorológico Nacional
A623,A563,Servicio Nacional de Sanidad y Calidad Agroalimentaria,"Secretaría de Agricultura, Ganadería y Pesca",A623,1,166157000000,3602,"Ministerio de Agricultura, Ganadería y Pesca",Servicio Nacional de Sanidad y Calidad Agroalimentaria
A624,A538,Servicio Penitenciario Federal,Ministerio de Seguridad,A624,1,401755000000,16654,Ministerio de Justicia y Derechos Humanos,Servicio Penitenciario Federal
A625,A555,Sindicatura General de la Nación,Presidencia de la Nación,A625,1,22415000000,860,Presidencia de la Nación,Sindicatura General de la Nación
A626,A587,Sociedad del Estado Casa de Moneda,Secretaría de Hacienda,A626,1,0,0,,
A627,A592,Subsecretaría de Acceso a la Justicia,Secretaría de Justicia,A627,1,0,0,,
A628,A615,Subsecretaría de Administración y Normalización Patrimonial,Secretaría Legal y Administrativa,A628,1,0,0,,
A629,A611,Subsecretaría de Ambiente,"Secretaría de Turismo, Ambiente y Deportes",A629,1,0,0,,
A630,A565,Subsecretaría de Análisis y Planificación Internacional,Secretaría de Asuntos Estratégicos,A630,1,0,0,,
A631,A565,Subsecretaría de Articulación Institucional de Asuntos Estratégicos,Secretaría de Asuntos Estratégicos,A631,1,0,0,,
A632,A604,Subsecretaría de Asuntos Americanos,Secretaría de Relaciones Exteriores,A632,1,0,0,,
A633,A578,Subsecretaría de Asuntos Internacionales en Derechos Humanos y Civilización,Secretaría de Culto y Civilización,A633,1,0,0,,
A634,A616,Subsecretaría de Asuntos Legales,Secretaría Legal y Técnica,A634,1,0,0,,
A635,A605,Subsecretaría de Asuntos Parlamentarios,Secretaría de Relaciones Parlamentarias e Institucionales,A635,1,0,0,,
A636,A538,Subsecretaría de Asuntos Penitenciarios,Ministerio de Seguridad,A636,1,0,0,,
A637,A800,Subsecretaría de Asuntos Políticos,Vicejefatura de Gabinete del Interior,A637,1,0,0,,
A638,A614,Subsecretaría de Asuntos Presidenciales,Secretaría General de la Presidencia de la Nación,A638,1,0,0,,
A639,A592,Subsecretaría de Asuntos Registrales,Secretaría de Justicia,A639,1,0,0,,
A640,A600,Subsecretaría de Atención y Acompañamiento en Materia de Drogas,Secretaría de Políticas Integrales sobre Drogas de la Nación Argentina,A640,1,0,0,,
A641,A607,Subsecretaría de Calidad Regulatoria,Secretaría de Simplificación del Estado,A641,1,0,0,,
A642,A584,Subsecretaría de Ciberdefensa,Secretaría de Estrategia y Asuntos Militares,A642,1,0,0,,
A643,A589,Subsecretaría de Ciencia y Tecnología,"Secretaría de Innovación, Ciencia y Tecnología",A643,1,0,0,,
A644,A583,Subsecretaría de Combustibles Gaseosos,Secretaría de Energía,A644,1,0,0,,
A645,A583,Subsecretaría de Combustibles Líquidos,Secretaría de Energía,A645,1,0,0,,
A646,A588,Subsecretaría de Comercio Exterior,Secretaría de Industria y Comercio,A646,1,0,0,,
A647,A568,Subsecretaría de Coordinación Administrativa,Secretaría de Comunicación y Medios,A647,1,0,0,,
A648,A614,Subsecretaría de Coordinación Administrativa,Secretaría General de la Presidencia de la Nación,A648,1,0,0,,
A649,A587,Subsecretaría de Coordinación Fiscal Provincial,Secretaría de Hacienda,A649,1,0,0,,
A650,A612,Subsecretaría de Coordinación Interministerial,Secretaría Ejecutiva,A650,1,0,0,,
A651,A598,Subsecretaría de Coordinación Normativa Interministerial,Secretaría de Planeamiento Estratégico Normativo,A651,1,0,0,,
A652,A585,Subsecretaría de Coordinación y Gestión Internacional,Secretaría de Finanzas,A652,1,0,0,,
A653,A578,Subsecretaría de Culto,Secretaría de Culto y Civilización,A653,1,0,0,,
A654,A588,Subsecretaría de Defensa del Consumidor y Lealtad Comercial,Secretaría de Industria y Comercio,A654,1,0,0,,
A655,A611,Subsecretaría de Deportes,"Secretaría de Turismo, Ambiente y Deportes",A655,1,0,0,,
A656,A596,Subsecretaría de Desarrollo Minero,Secretaría de Minería,A656,1,0,0,,
A657,A581,Subsecretaría de Desarrollo Territorial,"Secretaría de Desarrollo Territorial, Hábitat y Vivienda",A657,1,0,0,,
A658,A609,Subsecretaría de Desarrollo y Modernización del Empleo Público,Secretaría de Transformación del Estado y Función Pública,A658,1,0,0,,
A659,A606,Subsecretaría de Despliegue Territorial,Secretaría de Seguridad,A659,1,0,0,,
A660,A607,Subsecretaría de Desregulación,Secretaría de Simplificación del Estado,A660,1,0,0,,
A661,A593,Subsecretaría de Economía del Conocimiento,"Secretaría de la Pequeña y Mediana Empresa, Emprendedores y Economía del Conocimiento",A661,1,0,0,,
A662,A563,Subsecretaría de Economías Regionales y de Pequeños y Medianos Productores,"Secretaría de Agricultura, Ganadería y Pesca",A662,1,0,0,,
A663,A608,Subsecretaría de Empleo y Formación Laboral,"Secretaría de Trabajo, Empleo y Seguridad Social",A663,1,0,0,,
A664,A593,Subsecretaría de Emprendedores,"Secretaría de la Pequeña y Mediana Empresa, Emprendedores y Economía del Conocimiento",A664,1,0,0,,
A665,A583,Subsecretaría de Energía Eléctrica,Secretaría de Energía,A665,1,0,0,,
A666,A612,Subsecretaría de Evaluación Presupuestaria,Secretaría Ejecutiva,A666,1,0,0,,
A667,A572,Subsecretaría de Evaluación y Seguimiento de Gestión de Producción,Secretaría de Coordinación de Producción,A667,1,0,0,,
A668,A585,Subsecretaría de Financiamiento,Secretaría de Finanzas,A668,1,0,0,,
A669,A532,Subsecretaría de Gestión Administrativa,Ministerio de Defensa,A669,1,0,0,,
A670,A535,Subsecretaría de Gestión Administrativa,Ministerio de Justicia,A670,1,0,0,,
A671,A569,Subsecretaría de Gestión Administrativa,Secretaría de Coordinación Administrativa,A671,1,0,0,,
A672,A573,Subsecretaría de Gestión Administrativa,Secretaría de Coordinación Legal y Administrativa,A672,1,0,0,,
A673,A582,Subsecretaría de Gestión Administrativa de Educación,Secretaría de Educación,A673,1,0,0,,
A674,A615,Subsecretaría de Gestión Administrativa de Infraestructura,Secretaría Legal y Administrativa,A674,1,0,0,,
